14 411 56758.00 I  0.053240 0.000026  0.429858 0.000034  I-0.2176756 0.0000059  1.3687 0.0041  I     0.392    0.119    -0.010    0.054  0.053250  0.429803 -0.2176742     0.393    -0.084  
14 412 56759.00 I  0.054177 0.000017  0.430518 0.000030  I-0.2190790 0.0000061  1.4110 0.0035  I     0.366    0.044    -0.021    0.106  0.054234  0.430495 -0.2190704     0.384    -0.103  
14 413 56760.00 I  0.054921 0.000025  0.430843 0.000031  I-0.2204965 0.0000039  1.4499 0.0039  I     0.345    0.119    -0.053    0.037  0.054922  0.430829 -0.2205171     0.379    -0.115  
14 414 56761.00 I  0.055778 0.000027  0.431233 0.000031  I-0.2219809 0.0000047  1.4952 0.0031  I     0.327    0.042    -0.081    0.034  0.055815  0.431117 -0.2219822     0.386    -0.133  
14 415 56762.00 I  0.056648 0.000023  0.432046 0.000032  I-0.2234330 0.0000049  1.3790 0.0034  I     0.313    0.041    -0.098    0.018  0.056685  0.432066 -0.2234228     0.347    -0.125  
14 416 56763.00 I  0.057337 0.000022  0.432759 0.000030  I-0.2247287 0.0000049  1.2322 0.0034  I     0.305    0.041    -0.121    0.018  0.057372  0.432707 -0.2247319     0.213    -0.147  
14 417 56764.00 I  0.058306 0.000022  0.433383 0.000027  I-0.2259358 0.0000046  1.2004 0.0034  I     0.304    0.041    -0.151    0.018  0.058285  0.433345 -0.2259407     0.157    -0.150  
14 418 56765.00 I  0.059516 0.000022  0.434487 0.000020  I-0.2271378 0.0000047  1.1933 0.0041  I     0.302    0.041    -0.170    0.018  0.059603  0.434397 -0.2271293     0.145    -0.144  
14 419 56766.00 I  0.060284 0.000013  0.435848 0.000018  I-0.2283308 0.0000069  1.2115 0.0060  I     0.297    0.093    -0.173    0.027  0.060277  0.435889 -0.2283317     0.144    -0.135  
14 420 56767.00 I  0.061013 0.000008  0.436966 0.000018  I-0.2295731 0.0000111  1.2667 0.0042  I     0.302    0.119    -0.174    0.150  0.061059  0.436854 -0.2295651     0.152    -0.127  
14 421 56768.00 I  0.062227 0.000014  0.437930 0.000022  I-0.2308739 0.0000047  1.3510 0.0060  I     0.314    0.047    -0.166    0.055  0.062226  0.437949 -0.2308723     0.194    -0.130  
14 422 56769.00 I  0.063762 0.000014  0.438726 0.000020  I-0.2323026 0.0000046  1.5177 0.0029  I     0.323    0.047    -0.141    0.055  0.063815  0.438636 -0.2323122     0.212    -0.120  
14 423 56770.00 I  0.065269 0.000015  0.439379 0.000023  I-0.2339047 0.0000035  1.6705 0.0029  I     0.322    0.054    -0.127    0.055  0.065292  0.439387 -0.2339073     0.421    -0.100  
14 424 56771.00 I  0.066877 0.000014  0.439939 0.000023  I-0.2356299 0.0000035  1.7824 0.0025  I     0.302    0.054    -0.114    0.055  0.066921  0.439872 -0.2356245     0.360    -0.095  
14 425 56772.00 I  0.068567 0.000014  0.440460 0.000025  I-0.2374843 0.0000035  1.9389 0.0025  I     0.282    0.054    -0.126    0.055  0.068585  0.440441 -0.2374787     0.266    -0.092  
14 426 56773.00 I  0.070273 0.000016  0.441074 0.000025  I-0.2394820 0.0000037  2.0184 0.0032  I     0.270    0.054    -0.125    0.055  0.070307  0.441005 -0.2394521     0.255    -0.087  
14 427 56774.00 I  0.071772 0.000019  0.441777 0.000020  I-0.2414648 0.0000053  1.9290 0.0030  I     0.264    0.045    -0.100    0.065  0.071805  0.441748 -0.2414476     0.276    -0.082  
14 428 56775.00 I  0.072975 0.000025  0.442371 0.000021  I-0.2433267 0.0000047  1.7996 0.0039  I     0.260    0.044    -0.075    0.059  0.072999  0.442322 -0.2433329     0.262    -0.100  
14 429 56776.00 I  0.074302 0.000024  0.442669 0.000019  I-0.2450454 0.0000057  1.6143 0.0039  I     0.261    0.119    -0.079    0.054  0.074344  0.442647 -0.2450400     0.249    -0.104  
14 430 56777.00 I  0.076093 0.000023  0.442834 0.000018  I-0.2465436 0.0000061  1.3941 0.0042  I     0.270    0.119    -0.103    0.054  0.076138  0.442770 -0.2465381     0.353    -0.080  
14 5 1 56778.00 I  0.077975 0.000023  0.443171 0.000016  I-0.2478499 0.0000062  1.2230 0.0043  I     0.284    0.119    -0.129    0.054  0.078006  0.443141 -0.2478474     0.028    -0.073  
14 5 2 56779.00 I  0.079726 0.000022  0.443595 0.000018  I-0.2490173 0.0000062  1.1350 0.0036  I     0.293    0.119    -0.150    0.054  0.079752  0.443556 -0.2490245     0.028    -0.073  
14 5 3 56780.00 I  0.081700 0.000017  0.444048 0.000018  I-0.2501398 0.0000037  1.1066 0.0047  I     0.291    0.041    -0.166    0.036  0.081711  0.443986 -0.2501213     0.028    -0.073  
14 5 4 56781.00 I  0.083760 0.000015  0.444584 0.000017  I-0.2512392 0.0000071  1.1045 0.0032  I     0.284    0.070    -0.174    0.041  0.083804  0.444551 -0.2512088     0.028    -0.073  
14 5 5 56782.00 I  0.085234 0.000018  0.444889 0.000018  I-0.2523641 0.0000053  1.1485 0.0042  I     0.280    0.058    -0.178    0.042  0.085264  0.444867 -0.2523436     0.028    -0.073  
